,listing_type,listing_title,Host Level,bed_type,availability,price,rating,number_of_ratings,Link
1,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Aug 18 – 25,$52,4.8,5,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-08-18&check_out=2022-08-25&previous_page_section_name=1000
2,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Nov 1 – 8,$27,4.73,11,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-11-01&check_out=2022-11-08&previous_page_section_name=1000
3,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Jan 17 – 24,$17,4.77,22,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-01-17&check_out=2023-01-24&previous_page_section_name=1000
4,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Nov 17 – 24,$164,4.93,139,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-11-17&check_out=2022-11-24&previous_page_section_name=1000
5,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Aug 16 – 23,$25,5.0,3,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2022-08-16&check_out=2022-08-23&previous_page_section_name=1000
6,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Sep 20 – 27,$33,4.57,21,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2022-09-20&check_out=2022-09-27&previous_page_section_name=1000
7,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Aug 15 – 22,$30,4.81,21,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000
8,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 24 – 31,$21,4.97,36,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-24&check_out=2023-03-31&previous_page_section_name=1000
9,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Oct 23 – 30,$28,4.64,28,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-10-23&check_out=2022-10-30&previous_page_section_name=1000
10,Condo in Mombasa ,"Clean, Co️mfy, Designer Studio, WiFi Netflix 50”TV",Superhost,1 queen bed,Sep 11 – 18,$32,4.84,116,www.airbnb.com/rooms/41245448?adults=1&children=0&infants=0&check_in=2022-09-11&check_out=2022-09-18&previous_page_section_name=1000
11,Apartment in Mombasa,"The Teal House, Mombasa || 1 Br || 43' Smart Tv",Superhost,1 bed,Sep 30 – Oct 7,$28,5.0,4,www.airbnb.com/rooms/630206329943518985?adults=1&children=0&infants=0&check_in=2022-09-30&check_out=2022-10-07&previous_page_section_name=1000
12,Vacation home in Mombasa,Lovely Studio Apartment with a Pool,Starter / Mid,1 double bed,Jan 19 – 26,$16,4.7,23,www.airbnb.com/rooms/53866957?adults=1&children=0&infants=0&check_in=2023-01-19&check_out=2023-01-26&previous_page_section_name=1000
13,Private room in Mombasa,"Romantic 4 poster bed, sea view, own living room",Superhost,2 beds,Aug 17 – 24,$28,4.84,119,www.airbnb.com/rooms/11593645?adults=1&children=0&infants=0&check_in=2022-08-17&check_out=2022-08-24&previous_page_section_name=1000
