,listing_type,listing_title,bed_type,availability,price,rating,number_of_ratings
1,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Mar 3 – 10,$141,4.96,162
2,Bus in Nairobi,"★The Brandy Bus, Glamping In a Quiet Paradise",4 beds,Apr 16 – 23,$103,4.91,466
3,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Sep 15 – 22,$41,4.51,49
4,Condo in Nairobi,One Bed with Heated Pool & Great View,1 bed,Nov 17 – 24,$33,5.0,3
5,Cottage in Nairobi,"The A-Frame | Windy Ridge, Karen",1 bed,Dec 17 – 24,$173,4.96,117
6,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Aug 5 – 12,$54,5.0,9
7,Apartment in Nairobi,Unwind in a Modern 1BR w/ King Bed in Kileleshwa,1 king bed,Feb 27 – Mar 6,$54,4.74,19
8,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 9 – 16,$15,4.82,33
9,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Jun 17 – 24,$26,New,0
10,Apartment in Nairobi,"Penthouse near Yaya Centre Kilimani,
1 bedroom.",1 bed,Oct 16 – 23,$40,New,0
11,Apartment in Nairobi,The stays at see-far- 2 bedroom apartment,2 beds,Nov 18 – 25,$42,4.75,16
12,Apartment in Nairobi,COZY STUDIO AT THE HEART OF NAIROBI WITH NETFLIX,1 queen bed,Jan 24 – 31,$13,4.11,9
13,Private room in Nairobi,Spacious Garden side & Pool,1 bed,Jul 19 – 26,$31,New,0
14,Apartment in Nairobi,SkyView Top Studio,1 queen bed,Feb 9 – 16,$26,4.84,113
15,Condo in Nairobi,Luxury 2-Bed 2.5 bath apartment in Kileleshwa.,2 beds,Aug 13 – 20,$99,New,0
16,Apartment in Nairobi,Lovely Apartment in Westlands,1 queen bed,Sep 23 – 30,$50,4.88,116
17,Apartment in Nairobi,The Nest in Karen,1 queen bed,Oct 12 – 19,$63,4.84,221
18,Private room in Nairobi,Cozy Luxurious Private Room with amazing views,1 king bed,Dec 20 – 27,$20,4.78,9
19,Apartment in KE,12th Floor Luxury Apt with an Amazing View & Pool,1 bed,Jun 26 – Jul 3,$57,4.83,24
20,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Oct 30 – Nov 6,$14,4.69,16
21,Apartment in Nairobi,"Skyline Views from 12th floor, rooftop pool & gym",1 king bed,Feb 26 – Mar 5,$55,4.79,57
22,Apartment in Nairobi,"iMagine White Collection, 1 Bedroom Kilimani",1 bed,Nov 16 – 23,$62,4.36,11
23,Apartment in Nairobi,"Affordable studio apartments in Kilimani, Enclave",1 queen bed,Nov 8 – 15,$48,4.42,168
24,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Nov 27 – Dec 4,$26,New,0
25,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 11 – 18,$15,4.82,33
26,Apartment in Nairobi,"Lemac 1108 Furnished Prime apartment, Westlands",1 king bed,Jan 31 – Feb 7,$52,4.96,100
27,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Sep 24 – Oct 1,$60,5.0,9
28,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Sep 12 – 19,$14,4.69,16
29,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Mar 29 – Apr 5,$141,4.96,162
30,Private room in Nairobi,Welcome home in Kenya,1 bed,Oct 28 – Nov 4,$22,5.0,3
31,Apartment in Nairobi,"Hidden Gem
Cozy 1 bedroom in the heart of Kilimani",1 bed,Jan 24 – 31,$53,4.92,13
32,Condo in Nairobi,Executive studio with free parking in Kilimani,1 bed,Feb 18 – 25,$20,4.81,16
33,Apartment in Nairobi,Sunny Spacious Studio,1 queen bed,Dec 29 – Jan 5,$27,4.85,59
34,Apartment in Nairobi,Sunset views on 9th floor w/ King Bed in Lavington,1 king bed,Nov 11 – 18,$56,4.84,122
35,Condo in Nairobi,"Crystal gem
(Netflix, WiFi, Pool, Gym, Parking)",1 double bed,Nov 4 – 11,$21,4.66,32
36,Condo in Nairobi,Cosy Studio Apartment in the CBD-Fast WiFi+Netflix,1 queen bed,Sep 4 – 11,$15,4.86,42
37,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Aug 3 – 10,$41,4.51,49
38,Loft in Nairobi,"⚡️Cozy,Cute Loft Apartment, Yaya Center , Kilimani⚡️",1 queen bed,Sep 5 – 12,$40,4.41,39
39,Apartment in Nairobi,Stylish 1 bedroom Nairobi Apartment with a Pool:,1 bed,Aug 6 – 13,$74,4.8,5
40,Condo in Nairobi,Spacious Modern Apt 15mins  to CBD • 20mins to UN,1 queen bed,Jul 26 – Aug 2,$31,4.85,27
41,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Mar 13 – 20,$141,4.96,162
42,Condo in Nairobi,Stunning 1-Bedroom Apartment on Riverside Drive.,1 bed,Aug 12 – 19,$41,New,0
43,Apartment in Nairobi,Chic 1BR in Westlands- 5 mins from local spots,1 double bed,Jul 13 – 20,$41,4.51,49
44,Condo in Nairobi,Lavish Studio Apartment w/free Wifi and Netflix.,1 queen bed,Dec 29 – Jan 5,$13,4.65,17
45,Cottage in Nairobi,"The A-Frame | Windy Ridge, Karen",1 bed,Oct 28 – Nov 4,$163,4.96,117
46,Bus in Nairobi,"★The Brandy Bus, Glamping In a Quiet Paradise",4 beds,May 15 – 22,$103,4.91,466
47,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 9 – 16,$15,4.82,33
48,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Sep 17 – 24,$60,5.0,9
49,Apartment in Nairobi,M's Haven! near Westlands,1 bed,Feb 8 – 15,$26,New,0
50,Apartment in Nairobi,Unwind in a Modern 1BR w/ King Bed in Kileleshwa,1 king bed,Oct 22 – 29,$56,4.74,19
51,Apartment in Nairobi,"Penthouse near Yaya Centre Kilimani,
1 bedroom.",1 bed,Jan 6 – 13,$40,New,0
52,Apartment in Nairobi,COZY STUDIO AT THE HEART OF NAIROBI WITH NETFLIX,1 queen bed,Jan 8 – 15,$13,4.11,9
53,Apartment in Nairobi,SkyView Top Studio,1 queen bed,Nov 4 – 11,$26,4.84,113
54,Apartment in Nairobi,The stays at see-far- 2 bedroom apartment,2 beds,Feb 14 – 21,$42,4.75,16
55,Condo in Nairobi,'Tranquil Abode' - Enjoy a Piece of Paradise,1 double bed,Sep 13 – 20,$15,4.71,91
56,Private room in Nairobi,Cozy Luxurious Private Room with amazing views,1 king bed,Oct 30 – Nov 6,$20,4.78,9
57,Apartment in Nairobi,Lovely 1-bed Condo,1 queen bed,Mar 12 – 19,$14,4.69,16
58,Apartment in Nairobi,The Nest in Karen,1 queen bed,Nov 13 – 20,$63,4.84,221
59,Apartment in Nairobi,Lovely Apartment in Westlands,1 queen bed,Oct 7 – 14,$50,4.88,116
60,Apartment in Nairobi,The Jade Luxury Gem Apartment in Nairobi Ngara,2 queen beds,Oct 26 – Nov 2,$18,4.33,24
61,Treehouse in Nairobi,Nairobi Dawn Chorus,1 king bed,Dec 11 – 18,$140,4.96,162
62,Condo in Nairobi,Deluxe 1 Bdrm Apt in kileleshwa with pool & Gym,1 bed,Jun 29 – Jul 6,$61,New,0
63,Apartment in Nairobi,"Penthouse near Yaya Centre Kilimani,
1 bedroom.",1 bed,Mar 23 – 30,$40,New,0
64,Cottage in Nairobi,"The A-Frame | Windy Ridge, Karen",1 bed,Jan 4 – 11,$172,4.96,117
65,Apartment in KE,Prime Serviced Residence ( 1 bed room),1 double bed,Sep 27 – Oct 4,$60,5.0,9
66,Condo in Nairobi,'Tranquil Abode' - Enjoy a Piece of Paradise,1 double bed,Oct 13 – 20,$15,4.71,91
67,Apartment in Nairobi,SkyView Top Studio,1 queen bed,Aug 21 – 28,$26,4.84,113
68,Bus in Nairobi,"★The Brandy Bus, Glamping In a Quiet Paradise",4 beds,Jun 5 – 12,$103,4.91,466
69,Apartment in Nairobi,The Nest in Karen,1 queen bed,Sep 4 – 11,$63,4.84,221
70,Apartment in Nairobi,Unwind in a Modern 1BR w/ King Bed in Kileleshwa,1 king bed,May 30 – Jun 6,$56,4.74,19
71,Apartment in Nairobi,Lovely Apartment in Westlands,1 queen bed,Dec 21 – 28,$50,4.88,116
72,Apartment in Nairobi,"Affordable studio apartments in Kilimani, Enclave",1 queen bed,Nov 5 – 12,$48,4.42,168
73,Apartment in Nairobi,Elegant 1 bedroom with a pool and gym near Yaya,1 queen bed,Jan 7 – 14,$53,4.74,19
74,Apartment in Nairobi,Cosy Compact Studio-Near Sarit Centre Westlands,1 single bed,Feb 13 – 20,$27,4.93,14
75,Private room in Nairobi,The Marian Residence - Westlands,1 queen bed,Jul 12 – 19,$15,4.82,33
76,Loft in Nairobi,Entire Apartment | Nairobi |Haven - west suites,1 queen bed,Sep 11 – 18,$27,4.87,52
